"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Fundulus heteroclitus","Fundulus heteroclitus","species","Choquemort","Animalia","Chordata","Teleostei","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus"
"Glaucomys sabrinus","Glaucomys sabrinus","species","Grand polatouche","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Glaucomys","Glaucomys sabrinus"
"Uria lomvia","Uria lomvia","species","Guillemot de brünnich","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Uria","Uria lomvia"
"Salmo trutta","Salmo trutta","species","Truite brune","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"Plethodon jordani","Plethodon jordani","species","","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon jordani"
"Odobenus rosmarus","Odobenus rosmarus","species","Morse","Animalia","Chordata","Mammalia","Carnivora","Odobenidae","Odobenus","Odobenus rosmarus"
"Limosa haemastica","Limosa haemastica","species","Barge hudsonienne","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Limosa haemastica"
"Lepus arcticus","Lepus arcticus","species","Lièvre arctique","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus arcticus"
"Lepus arcticus bangsii","Lepus arcticus bangsii","subspecies","","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus arcticus"
"Storeria dekayi","Storeria dekayi","species","Couleuvre brune","Animalia","Chordata","Reptilia","Squamata","Colubridae","Storeria","Storeria dekayi"
"Sistrurus catenatus","Sistrurus catenatus","species","Sistrurus catenatus catenatus","Animalia","Chordata","Squamata","Squamata","Viperidae","Sistrurus","Sistrurus catenatus"
"Hyperoodon ampullatus","Hyperoodon ampullatus","species","Baleine à bec commune","Animalia","Chordata","Mammalia","Cetacea","Hyperoodontidae","Hyperoodon","Hyperoodon ampullatus"
"Morone americana","Morone americana","species","Baret","Animalia","Chordata","Teleostei","Perciformes","Moronidae","Morone","Morone americana"
